券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
複勝,芝,MF複勝3位以内,〜10倍,人気不問,19425,10289,82.0,81.5,82.6,0
単勝,芝,MF複勝3位以内,〜10倍,4番人気以下,2986,315,77.6,70.4,85.1,0
複勝,芝,MF複勝3位以内,〜10倍,4番人気以下,2986,1082,78.3,75.7,81.2,0
単勝,芝,MF複勝3位以内,〜10倍,3番人気以内,16439,4025,80.7,79.0,82.7,0
複勝,芝,MF複勝3位以内,〜10倍,3番人気以内,16439,9207,82.7,81.5,83.5,0
単勝,芝,MF複勝3位以内,〜20倍,人気不問,21965,4512,81.4,78.6,83.6,0
複勝,芝,MF複勝3位以内,〜20倍,人気不問,21965,10926,81.4,80.8,82.0,0
単勝,芝,MF複勝3位以内,〜20倍,4番人気以下,5389,479,84.1,74.8,92.9,0
複勝,芝,MF複勝3位以内,〜20倍,4番人気以下,5389,1667,76.8,74.6,79.3,0
単勝,芝,MF複勝3位以内,〜20倍,6番人気以下,1294,90,96.8,61.7,115.0,3
複勝,芝,MF複勝3位以内,〜20倍,6番人気以下,1294,297,77.6,65.2,90.0,0
単勝,芝,MF複勝3位以内,〜20倍,3番人気以内,16576,4033,80.5,78.7,82.5,0
複勝,芝,MF複勝3位以内,〜20倍,3番人気以内,16576,9259,82.9,81.7,83.7,0
単勝,芝,MF複勝5位以内,〜5倍,人気不問,14011,3848,80.5,78.2,83.5,0
複勝,芝,MF複勝5位以内,〜5倍,人気不問,14011,8477,84.2,83.3,85.2,0
単勝,芝,MF複勝5位以内,〜5倍,3番人気以内,13942,3831,80.3,78.1,83.1,0
複勝,芝,MF複勝5位以内,〜5倍,3番人気以内,13942,8437,84.2,83.3,85.2,0
単勝,芝,MF複勝5位以内,5-10倍,人気不問,12212,1464,80.5,76.8,86.0,0
複勝,芝,MF複勝5位以内,5-10倍,人気不問,12212,4678,79.4,76.5,80.6,0
単勝,芝,MF複勝5位以内,5-10倍,4番人気以下,5889,628,80.8,73.6,88.5,0
複勝,芝,MF複勝5位以内,5-10倍,4番人気以下,5889,2138,80.4,77.4,82.3,0
単勝,芝,MF複勝5位以内,5-10倍,6番人気以下,317,26,70.3,40.8,110.5,1
複勝,芝,MF複勝5位以内,5-10倍,6番人気以下,317,93,78.5,34.4,107.8,2
単勝,芝,MF複勝5位以内,5-10倍,3番人気以内,6323,836,80.2,75.1,83.8,0
複勝,芝,MF複勝5位以内,5-10倍,3番人気以内,6323,2540,78.4,75.6,80.3,0
単勝,芝,MF複勝5位以内,10-20倍,人気不問,7481,456,82.3,74.9,89.5,0
複勝,芝,MF複勝5位以内,10-20倍,人気不問,7481,1855,77.1,74.0,82.0,0
単勝,芝,MF複勝5位以内,10-20倍,4番人気以下,7213,442,83.2,76.2,91.6,0
複勝,芝,MF複勝5位以内,10-20倍,4番人気以下,7213,1762,76.2,73.1,81.4,0
単勝,芝,MF複勝5位以内,10-20倍,6番人気以下,3572,207,84.6,79.2,93.8,0
複勝,芝,MF複勝5位以内,10-20倍,6番人気以下,3572,779,76.4,71.7,80.5,0
単勝,芝,MF複勝5位以内,10-20倍,3番人気以内,268,14,57.7,21.5,120.7,1
複勝,芝,MF複勝5位以内,10-20倍,3番人気以内,268,93,99.9,86.8,113.3,1
単勝,芝,MF複勝5位以内,20-50倍,人気不問,3650,88,68.2,43.6,83.8,0
複勝,芝,MF複勝5位以内,20-50倍,人気不問,3650,505,69.0,57.8,80.2,0
単勝,芝,MF複勝5位以内,20-50倍,4番人気以下,3647,88,68.3,43.6,83.8,0
複勝,芝,MF複勝5位以内,20-50倍,4番人気以下,3647,504,69.0,57.8,80.4,0
単勝,芝,MF複勝5位以内,20-50倍,6番人気以下,3219,80,71.6,41.3,95.2,0
複勝,芝,MF複勝5位以内,20-50倍,6番人気以下,3219,416,68.7,53.8,78.7,0
単勝,芝,MF複勝5位以内,〜10倍,人気不問,26223,5312,80.5,78.0,82.5,0
複勝,芝,MF複勝5位以内,〜10倍,人気不問,26223,13155,81.9,81.3,82.4,0
単勝,芝,MF複勝5位以内,〜10倍,4番人気以下,5958,645,81.2,74.6,89.1,0
複勝,芝,MF複勝5位以内,〜10倍,4番人気以下,5958,2178,80.5,77.5,82.2,0
