種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
ヤマニンプロローグ,,,,,,,,,,,,,母父,29.0,0.034482758620689655,0.034482758620689655,0.10344827586206896,,0.034482758620689655,0.0,0.05263157894736842,0.0,0.0,0.0,7.655172413793103
ヤマニンプードレ,,,,,,,,,,,,,母父,26.0,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.2,0.0,,0.15,0.3333333333333333,0.2777777777777778,0.0,5.346153846153846
ヤマニンボンプアン,,,,,,,,,,,,,母父,8.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,,0.0,,10.0
ヤマニンマドレーヌ,,,,,,,,,,,,,母父,17.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0625,0.14285714285714285,0.0,,0.09090909090909091,0.0,10.235294117647058
ヤマニンメルベイユ,,,,,,,,,,,,,母父,15.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8
ヤマニンラレーヌ,,,,,,,,,,,,,母父,28.0,0.10714285714285714,0.14285714285714285,0.21428571428571427,0.0,0.15,0.1,0.14285714285714285,0.0,0.10526315789473684,0.2,8.857142857142858
ヤマニンリップル,,,,,,,,,,,,,母父,31.0,0.0967741935483871,0.16129032258064516,0.1935483870967742,0.0625,0.13333333333333333,0.0,0.10344827586206896,0.0,0.09523809523809523,0.16666666666666666,8.32258064516129
ヤマニンロードン,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.666666666666666
ヤマノアイリー,,,,,,,,,,,,,母父,28.0,0.0,0.07142857142857142,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714
ヤマノグラス,,,,,,,,,,,,,母父,15.0,0.0,0.13333333333333333,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,8.8
ヤマノサッシュ,,,,,,,,,,,,,母父,26.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.0,0.0625,0.06666666666666667,0.0,,0.047619047619047616,0.0,8.692307692307692
ヤマノフェアリー,,,,,,,,,,,,,母父,19.0,0.05263157894736842,0.21052631578947367,0.42105263157894735,0.05263157894736842,,0.16666666666666666,0.0,,0.0625,,5.2631578947368425
ヤマノボンディール,,,,,,,,,,,,,母父,22.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.863636363636363
ヤマノラヴ,,,,,,,,,,,,,母父,29.0,0.13793103448275862,0.2413793103448276,0.3103448275862069,0.16666666666666666,0.0,0.15,0.1111111111111111,,0.1,0.25,8.068965517241379
ヤマノラヴリー,,,,,,,,,,,,,母父,6.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,7.833333333333333
ヤマノローラ,,,,,,,,,,,,,母父,65.0,0.07692307692307693,0.12307692307692308,0.16923076923076924,0.043478260869565216,0.09523809523809523,0.08,0.08108108108108109,0.0,0.02702702702702703,0.07142857142857142,6.769230769230769
ヤマホトトギス,,,,,,,,,,,,,母父,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.25
ヤマン,,,,,,,,,,,,,母父,20.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85
ヤヤラーラ,,,,,,,,,,,,,母父,36.0,0.05555555555555555,0.1111111111111111,0.19444444444444445,0.0,0.07142857142857142,0.07407407407407407,0.0,0.0,0.037037037037037035,0.0,8.027777777777779
ヤンキーローズ,,,,,,,,,,,,,母父,26.0,0.19230769230769232,0.46153846153846156,0.5,0.19230769230769232,,,0.2,0.0,0.15789473684210525,0.0,4.653846153846154
ユアインマイハート,,,,,,,,,,,,,母父,8.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,,0.0,,11.25
ユアザイオン,,,,,,,,,,,,,母父,7.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.714285714285714
ユアスイスイ,,,,,,,,,,,,,母父,11.0,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.16666666666666666,0.4,0.5,0.25,0.0,0.3333333333333333,0.0,3.5454545454545454
ユアメモリー,,,,,,,,,,,,,母父,58.0,0.06896551724137931,0.1206896551724138,0.1724137931034483,0.0,0.0975609756097561,0.0,0.07317073170731707,0.07142857142857142,0.07142857142857142,0.0,7.448275862068965
ユイフィーユ,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,7.7
ユウアールシー,,,,,,,,,,,,,母父,30.0,0.03333333333333333,0.06666666666666667,0.1,0.045454545454545456,0.0,0.0,0.0,0.09090909090909091,0.043478260869565216,0.0,9.3
ユウキビバ,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.6
ユウキフジサン,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.1
ユウキャラット,,,,,,,,,,,,,母父,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.642857142857142
ユウサンポリッシュ,,,,,,,,,,,,,母父,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.285714285714286
ユウジンカザン,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.2
