race_id,年,券種,組み合わせ,確率,推定オッズ,期待値,払戻
202304040208,2023,馬連,03-14,0.07371264908991584,43.89774714039743,3.235819230797972,0.0
202407010109,2024,馬単,01-12,0.019382173920501757,192.92283216785953,3.7392638863132244,0.0
202507010611,2025,馬単,16-12,0.04263955007469042,59.046209722389925,2.5177038161785172,0.0
202505030111,2025,馬連,07-14,0.008111054472841595,285.5939694173889,2.316468243059498,0.0
202506050310,2025,馬単,11-01,0.027343272644407234,97.19397878343653,2.657601461270237,0.0
202209040701,2022,馬単,01-03,0.021112573185579346,259.55636915368945,5.479902839540518,0.0
202310010801,2023,馬単,02-12,0.004905042842084319,1178.1913194978483,5.7790788983088,0.0
202310020608,2023,馬連,03-04,0.01144236120827143,399.86455718352573,4.575394697679408,0.0
202410010311,2024,馬単,01-06,0.023126480149094186,96.49984434604305,2.231701734659443,0.0
202410020711,2024,馬単,15-10,0.06373732082532294,31.4488273095719,2.0044639958103616,2790.0
202408030710,2024,馬連,08-09,0.00798757617823597,257.43207889733196,2.0562583409140918,0.0
202405030810,2024,馬連,03-08,0.010297108405300872,223.76810815529814,2.304164467324195,0.0
202403030311,2024,馬単,15-01,0.02409152127936516,108.52011877651795,2.614414750743717,0.0
202509010111,2025,馬連,09-11,0.0011518054004557026,2072.741259923881,2.3873945769276834,0.0
202505020410,2025,馬連,01-12,0.006092113612337613,445.2076964246741,2.7122558677062285,0.0
202310030712,2023,馬連,02-03,0.005172782928822823,576.8825124598628,2.984088012388798,0.0
202309050407,2023,馬単,07-05,0.012180951310006943,164.91427478743924,2.008812751510903,0.0
202410020307,2024,馬連,09-13,0.0056152239009758876,460.36414293884405,2.585047738582477,0.0
202409010308,2024,馬単,14-09,0.005263340737773794,404.77330721647314,2.1304598374358905,0.0
202407010508,2024,馬連,05-10,0.01635121952393466,224.40238545980833,3.669252666347929,0.0
202503030112,2025,馬連,05-14,0.04807791039019088,76.93522917611787,3.698885054178194,0.0
202205030808,2022,馬連,02-10,0.0018660394859299114,3197.7525619229723,5.967132546781801,0.0
202203020408,2022,馬単,08-15,0.003203302195218708,2158.511148739238,6.914363501160455,0.0
