馬名,馬主
アスターコルネット,加藤久枝
アスターゴールド,加藤久枝
アスターシッキム,加藤久枝
アスターシャウルス,加藤万記子
アスタースウィング,加藤久枝
アスターストーリー,加藤久枝
アスターセレステ,加藤久枝
アスターソード,加藤久枝
アスターチェンチ,加藤久枝
アスターディゴン,加藤久枝
アスターディンブラ,加藤久枝
アスターデカゴン,加藤久枝
アスタートリゴン,加藤久枝
アスタードラゴン,加藤久枝
アスターナランハ,加藤久枝
アスターニルギリ,加藤千豊
アスターハリケーン,加藤久枝
アスタービオラ,加藤久枝
アスタービーナス,加藤久枝
アスターファゴット,加藤久枝
アスターフラッペ,加藤久枝
アスターブジエ,加藤千豊
アスターブランコ,加藤久枝
アスターブリザード,加藤久枝
アスターヘキサゴン,加藤久枝
アスターベルデ,加藤久枝
アスターペガサス,加藤久枝
アスターホルン,加藤久枝
アスターマリンバ,加藤久枝
アスターモノゴン,加藤久枝
アスターラングル,加藤千豊
アスターリコッタ,加藤千豊
アスタールテニウム,加藤千豊
アスタールビー,加藤久枝
アスタールフナ,加藤万記子
アスティ,山口謙太郎
アスティスプマンテ,吉田勝己
アスティパレア,サンデーレーシング
アステリアート,ＯＨＥレーシング
アステルカーラ,ノルマンディーサラブレッドレーシング
アステルグロリアス,小島正宏
アステルスフィーダ,小島正宏
アステルディーヴァ,小島正宏
アステルリヴェール,小島正宏
アステロイドベルト,キャロットファーム
アステロイドメア,スマイルファーム
アステーラス,天堀忠博
アストゥーリアス,菅原広隆
アストラアヴィス,東豊物産
アストライア,キャロットファーム
アストラエンブレム,シルクレーシング
アストラカ,水上行雄
アストラガルス,田頭勇貴
アストラサンタン,丹羽久一郎
アストラッド,江馬由将
アストラリオン,ラ・メール
アストラルフロウ,鈴木淳人
アストラルポケット,クラウン
アストラン,ＤＭＭドリームクラブ
アストリット,上田忠男
アストリル,辻子依旦
アストロアイガー,畑佐博
アストロゲート,カナヤマホールディングス
アストロノーティカ,ゴドルフィン
アストロバローズ,猪熊広次
アストロフィライト,シルクレーシング
アストロブレイク,吉澤ホールディングス
アストロマーチ,ノルマンディーサラブレッドレーシング
アストロラヴ,佐上峻作
アストロレガシー,シルクレーシング
アストロロジー,石瀬浩三
アストロローグ,ヒダカ・ブリーダーズ・ユニオン
アストンクリントン,サンデーレーシング
アスノヒロイン,佐藤啓子
アスパラゴ,村島聡乃
アスパルディーコ,金子真人ホールディングス
アスピシャスデイ,ノルマンディーサラブレッドレーシング
アスピノール,上田忠男
アスピラシオン,辻子依旦
アスピラール,山口敦広
アスプリージャ,坂東牧場
アスペッタティーバ,小松達昌
アスマスティーブ,湯澤寛
アスミル,村上憲政
アスリエル,ノルマンディーサラブレッドレーシング
アスルノーヴァ,ブルースターズファーム
アスロス,広尾レース
アスワンサンセット,社台レースホース
アスールドブレ,アスール
アスールパースト,アスール
アスールプラージャ,眞保榮稔
アズサ,和田牧場
アズナブール,西田彰宏
アズベリー,前原敏行
アズマエピカリス,東哲次
アズマオウ,東哲次
アズマサクラエモン,川端美穂
アズマタックン,東哲次
アズマヘリテージ,東哲次
アズユーフィール,コスモヴューファーム
アズユーライク,チャンピオンズファーム
アズライトアスール,アスール
アズライトティアラ,荒井泰樹
アズライトムーン,シルクレーシング
アズワンウイッシュ,社台レースホース
アズーラ,江川聡子
アズールスカイ,ノースヒルズ
アズールドーン,Ｇ１レーシング
アズーロエマローネ,シルクレーシング
アセレラシオン,サンデーレーシング
アセンシオン,ノースヒルズ
アセンダント,サラブレッドクラブ・ラフィアン
アセンディア,諸岡勲
アセンブリールーム,サンデーレーシング
アゼム,鈴木淳人
アゼルスタン,サンデーレーシング
アタカヒール,高瀬牧場
アタカマリン,高瀬牧場
アタカミーム,高瀬牧場
アタカリスポーン,高瀬牧場
アタカンテ,幅田昌伸
アタゴバリュー,坪野谷和平
アタックエース,西村新一郎
アタックスリー,西村新一郎
アタックタイガー,西村新一郎
アタックボーイ,長塩豊
アタビズム,広尾レース
アタミ,副島義久
アタラシイカドデニ,石田勇
アタラヨ,前田幸大
アタリダイキチ,西村新一郎
アダマスミノル,吉岡實
アダマント,森田至昭
アダマース,サンデーレーシング
アダムスマイリー,廣崎双葉
アダムズテソーロ,了徳寺健二ホールディングス
アダムバローズ,猪熊広次
アチェロイス,岡田牧雄
アチーヴァー,社台レースホース
アッカレッツァーレ,山口裕介
アッカン,ＧｒａｎｄｅＲａｃｉｎｇ
アックアアルタ,サンデーレーシング
アックアヴィリーレ,ヒダカ・ブリーダーズ・ユニオン
アックラマーレ,伊藤永二郎
アッケシ,ゴドルフィン
アッサジャン,金子真人ホールディングス
アッシェンプッテル,フジワラ・ファーム
アッシズオブローズ,サンデーレーシング
アッシャムス,桑田牧場
アッシュ,中村智幸
アッシュグレイス,ノルマンディーサラブレッドレーシング
アッシュグレー,ミルファーム
アッシュゲイル,山口敦広
アッシュドール,西浩明
アッシュバーグ,下河辺隆行
アッシュフォード,シルクレーシング
アッシュルバニパル,吉田和美
アッセクシー,吉澤ホールディングス
アッタヴァンティ,サンデーレーシング
アッチェレランド,ラ・メール
アッチャイオ,落合幸弘
アッチャゴーラ,吉田千津
アッチョンブリケ,中込哲太郎
アッティラ,高瀬真尚
アッティーヴォ,奥裕嗣
アットアブラスト,岡田牧雄
アットザトップ,ノースヒルズ
アットザホップ,稲川一
アットザラヴアスク,廣崎利洋ＨＤ
アットワンス,米田稔
アッパレゴッホ,西村新一郎
アッパーウォーター,吉田勝己
アッファシナンテ,キャロットファーム
アッフィラート,社台レースホース
アッフェルマーレ,下河辺隆行
アップクォーク,キャロットファーム
アップサージ,ゴドルフィン
アップステート,三嶋牧場
アップストリーム,下河辺隆行
アップストローク,吉田照哉
アップターンデイ,フクキタル
アップチェリー,服部英利
アップデート,石川達絵
アップトゥザナイン,京都ホースレーシング
アップトゥミー,金子真人ホールディングス
アップビート,ゴドルフィン
アップフルーク,村山正道
アップライト,シルクレーシング
アップライトスピン,キャロットファーム
アップリバー,平田修
アップリンク,シルクレーシング
アップルザビート,山下裕司
アップルハウス,薪浦亨
アップルマフィン,加藤徹
アッラサルーテ,吉田勝己
アツィオーネ,ウエスト．フォレスト．ステイブル
アツキヤマト,鈴木正浩
アツヒメ,小菅誠
アツモリ,重松國建
アツンケル,由井健太郎
アティトラン,ノースヒルズ
アティラン,水上ふじ子
アティード,高瀬正志
アテザムール,寺田心平
アテナガール,田島政光
アテナノワール,諸江幸祐
アテナパルテノス,ゴドルフィン
アテナブレイブ,スリーエイチレーシング
アテナリ,林弘之
アテングローリー,玉置潔
アテンコール,齊藤直信
アテンスマイル,マークス
アテンド,中村伊三美
アテンハピネス,マークス
アテンパーティ,齊藤直信
アテンヒーロー,玉置潔
アテンフェアリー,齊藤直信
アテンフェスタ,河村隆平
アテンフラワー,マークス
アテンポラル,Ｇ１レーシング
アテンミラクル,玉置潔
アディクション,キャロットファーム
アディクテッドラン,サイプレスホールディングス
アディラータメンテ,窪田芳郎
アディラート,安原浩司
アデウス,平本敏夫
アデニウム,村野康司
アデラパフューム,高昭牧場
アデランテ,岡田牧雄
アデルバローズ,猪熊広次
アデルフィー,小原準一郎
アデーレカフェ,西川光一
アトミカ,東堂レーシング
アトミックガイ,吉田和美
アトミックスワップ,田頭勇貴
アトミックナンバー,ゴドルフィン
アトミックフォース,吉田千津
アトミックフレア,天堀忠博
アトミックブレス,イージス
アトミックリーチ,藤田晋
アトムアストレア,永井廣司
アトムアリス,永井廣司
アトムヴェローチェ,永井廣司
アトモス,寺田寿男
アトモスジブリール,志村鑑彦
アトモストリミッツ,サンデーレーシング
アトラクティッド,山上和良
アトラクティヴ,近藤英子
アトラクティーボ,ノースヒルズ
アトラクトボイス,大原詔宏
アトラクトラン,岡村善行
アトラスエース,柳橋俊昭
アトラステソーロ,了徳寺健二ホールディングス
アトラップレーヴ,山中明広
アトランタ,近藤英子
アトランタテソーロ,了徳寺健二ホールディングス
アトランティス,山口功一郎
アトラーレ,ライオンレースホース
アトリ,シルクレーシング
アトリウムチャペル,社台レースホース
アトリビュート,シルクレーシング
アトリーテソーロ,了徳寺健二ホールディングス
アトレイユ,杉山忠国
アトレッタ,名古屋友豊
アトレッド,ニューワールドレーシング
アトレヴィード,吉田勝己
アトロルーベンス,吉田勝己
アドアステラ,ビッグレッドファーム
アドアパルス,松岡隆雄
アドアプローズ,アドバンス・サッポロ
アドゥシール,大樹ファーム
アドゥール,寺田寿男
アドゥールグロー,磯部昌史
アドバンスアゲイン,西川隆士
アドバンスオーセン,久保田典秀
アドバンスゴード,ニッシンレーシング
